,Node_1,Node_2,Edge
278,Dysgonomonas,Clostridiales_noname,True
279,Dysgonomonas,Flavonifractor,False
280,Dysgonomonas,Eubacterium,False
281,Dysgonomonas,Anaerostipes,False
282,Dysgonomonas,Blautia,False
283,Dysgonomonas,Butyrivibrio,False
284,Dysgonomonas,Cellulosilyticum,False
285,Dysgonomonas,Coprococcus,False
286,Dysgonomonas,Dorea,False
287,Dysgonomonas,Lachnospiraceae_noname,False
288,Dysgonomonas,Roseburia,False
289,Dysgonomonas,Oscillibacter,False
290,Dysgonomonas,Peptostreptococcaceae_noname,False
291,Dysgonomonas,Faecalibacterium,False
292,Dysgonomonas,Ruminococcus,False
293,Dysgonomonas,Subdoligranulum,False
294,Dysgonomonas,Coprobacillus,False
295,Dysgonomonas,Erysipelotrichaceae_noname,False
296,Dysgonomonas,Acidaminococcus,False
297,Dysgonomonas,Phascolarctobacterium,False
298,Dysgonomonas,Dialister,False
299,Dysgonomonas,Megamonas,False
300,Dysgonomonas,Megasphaera,False
301,Dysgonomonas,Veillonella,False
302,Dysgonomonas,Burkholderiales_noname,False
303,Dysgonomonas,Oxalobacter,False
304,Dysgonomonas,Parasutterella,False
305,Dysgonomonas,Sutterella,False
306,Dysgonomonas,Bilophila,False
307,Dysgonomonas,Desulfovibrio,False
308,Dysgonomonas,Enterobacter,True
309,Dysgonomonas,Escherichia,False
310,Dysgonomonas,Klebsiella,False
311,Dysgonomonas,Proteus,True
312,Dysgonomonas,Haemophilus,False
313,Dysgonomonas,Akkermansia,False
314,Dysgonomonas,Podoviridae_noname,False
315,Dysgonomonas,C2likevirus,False
316,Dysgonomonas,Siphoviridae_noname,False
317,Dysgonomonas,Mastadenovirus,False
318,Odoribacter,Bifidobacterium,False
319,Odoribacter,Collinsella,False
320,Odoribacter,Bacteroides,False
321,Odoribacter,Bacteroidales_noname,False
322,Odoribacter,Barnesiella,False
323,Odoribacter,Dysgonomonas,False
324,Odoribacter,Odoribacter,False
325,Odoribacter,Parabacteroides,True
326,Odoribacter,Paraprevotella,False
327,Odoribacter,Prevotella,True
328,Odoribacter,Alistipes,True
329,Odoribacter,Streptococcus,False
330,Odoribacter,Clostridium,False
331,Odoribacter,Clostridiales_noname,False
332,Odoribacter,Flavonifractor,False
333,Odoribacter,Eubacterium,False
334,Odoribacter,Anaerostipes,False
335,Odoribacter,Blautia,False
336,Odoribacter,Butyrivibrio,False
337,Odoribacter,Cellulosilyticum,False
338,Odoribacter,Coprococcus,False
339,Odoribacter,Dorea,False
340,Odoribacter,Lachnospiraceae_noname,False
341,Odoribacter,Roseburia,False
342,Odoribacter,Oscillibacter,False
343,Odoribacter,Peptostreptococcaceae_noname,False
344,Odoribacter,Faecalibacterium,False
345,Odoribacter,Ruminococcus,False
346,Odoribacter,Subdoligranulum,False
347,Odoribacter,Coprobacillus,False
348,Odoribacter,Erysipelotrichaceae_noname,False
349,Odoribacter,Acidaminococcus,False
350,Odoribacter,Phascolarctobacterium,True
351,Odoribacter,Dialister,False
352,Odoribacter,Megamonas,False
353,Odoribacter,Megasphaera,True
354,Odoribacter,Veillonella,False
355,Odoribacter,Burkholderiales_noname,True
356,Odoribacter,Oxalobacter,False
357,Odoribacter,Parasutterella,True
358,Odoribacter,Sutterella,False
359,Odoribacter,Bilophila,False
360,Odoribacter,Desulfovibrio,False
361,Odoribacter,Enterobacter,False
362,Odoribacter,Escherichia,False
363,Odoribacter,Klebsiella,False
364,Odoribacter,Proteus,True
365,Odoribacter,Haemophilus,False
366,Odoribacter,Akkermansia,False
367,Odoribacter,Podoviridae_noname,True
368,Odoribacter,C2likevirus,False
369,Odoribacter,Siphoviridae_noname,False
370,Odoribacter,Mastadenovirus,False
